#bin	chrom	chromStart	chromEnd	name	length	cpgNum	gcNum	perCpg	perGc	obsExp
593	chr1	1056298	1056699	CpG: 35	401	35	264	17.5	65.8	0.97
593	chr1	1059056	1059923	CpG: 96	867	96	610	22.1	70.4	0.92
593	chr1	1064298	1064531	CpG: 20	233	20	167	17.2	71.7	0.67
593	chr1	1067283	1069938	CpG: 229	2655	229	1821	17.3	68.6	0.74
593	chr1	1071836	1072253	CpG: 41	417	41	313	19.7	75.1	0.7
593	chr1	1076129	1078022	CpG: 122	1893	122	1344	12.9	71	0.62
593	chr1	1080679	1080980	CpG: 20	301	20	218	13.3	72.4	0.88
593	chr1	1081483	1082059	CpG: 41	576	41	395	14.2	68.6	0.61
593	chr1	1082719	1083010	CpG: 30	291	30	206	20.6	70.8	0.82
593	chr1	1084438	1084646	CpG: 15	208	15	144	14.4	69.2	0.6
593	chr1	1087763	1087967	CpG: 19	204	19	143	18.6	70.1	0.89
593	chr1	1088695	1089234	CpG: 44	539	44	369	16.3	68.5	0.7
593	chr1	1090997	1091245	CpG: 20	248	20	176	16.1	71	0.64
593	chr1	1092129	1092350	CpG: 18	221	18	160	16.3	72.4	0.62
593	chr1	1110664	1110960	CpG: 25	296	25	181	16.9	61.1	0.93
593	chr1	1115135	1117065	CpG: 186	1930	186	1276	19.3	66.1	0.91
593	chr1	1136989	1137467	CpG: 55	478	55	371	23	77.6	0.77
593	chr1	1157831	1158096	CpG: 25	265	25	204	18.9	77	0.64
593	chr1	1162663	1165204	CpG: 180	2541	180	1624	14.2	63.9	0.7
593	chr1	1173934	1174765	CpG: 59	831	59	526	14.2	63.3	0.71
594	chr1	1197447	1197838	CpG: 40	391	40	291	20.5	74.4	0.75
594	chr1	1200980	1201776	CpG: 105	796	105	622	26.4	78.1	0.86
594	chr1	1206290	1206770	CpG: 55	480	55	343	22.9	71.5	0.9
594	chr1	1210188	1210498	CpG: 25	310	25	210	16.1	67.7	0.7
594	chr1	1211328	1211534	CpG: 16	206	16	141	15.5	68.4	0.67
594	chr1	1213675	1214144	CpG: 36	469	36	285	15.4	60.8	0.83
594	chr1	1217142	1217754	CpG: 78	612	78	438	25.5	71.6	1
594	chr1	1218404	1219039	CpG: 44	635	44	417	13.9	65.7	0.65
594	chr1	1222937	1223222	CpG: 29	285	29	164	20.4	57.5	1.4
594	chr1	1226579	1226901	CpG: 24	322	24	213	14.9	66.1	0.69
594	chr1	1231621	1233605	CpG: 271	1984	271	1430	27.3	72.1	1.05
594	chr1	1242505	1242827	CpG: 26	322	26	228	16.1	70.8	0.66
594	chr1	1246376	1247090	CpG: 87	714	87	527	24.4	73.8	0.9
594	chr1	1254016	1254865	CpG: 68	849	68	567	16	66.8	0.72
594	chr1	1255142	1255419	CpG: 25	277	25	182	18.1	65.7	0.84
594	chr1	1258981	1259378	CpG: 28	397	28	229	14.1	57.7	0.9
594	chr1	1267786	1268084	CpG: 23	298	23	189	15.4	63.4	0.77
594	chr1	1273135	1274437	CpG: 144	1302	144	900	22.1	69.1	0.93
594	chr1	1286017	1294783	CpG: 590	8766	590	5777	13.5	65.9	0.63
594	chr1	1296481	1298279	CpG: 128	1798	128	1223	14.2	68	0.62
594	chr1	1307020	1309805	CpG: 298	2785	298	1802	21.4	64.7	1.03
595	chr1	1312606	1313113	CpG: 36	507	36	341	14.2	67.3	0.64
595	chr1	1318942	1319168	CpG: 18	226	18	154	15.9	68.1	0.7
595	chr1	1324263	1325255	CpG: 116	992	116	715	23.4	72.1	0.9
595	chr1	1327285	1328040	CpG: 66	755	66	525	17.5	69.5	0.73
595	chr1	1331705	1331906	CpG: 16	201	16	132	15.9	65.7	0.75
595	chr1	1332055	1333606	CpG: 116	1551	116	1059	15	68.3	0.64
595	chr1	1336045	1336694	CpG: 51	649	51	467	15.7	72	0.61
595	chr1	1336997	1337254	CpG: 20	257	20	173	15.6	67.3	0.69
595	chr1	1338106	1340460	CpG: 152	2354	152	1535	12.9	65.2	0.61
595	chr1	1341237	1341468	CpG: 17	231	17	121	14.7	52.4	1.15
595	chr1	1348553	1351571	CpG: 310	3018	310	2203	20.5	73	0.85
595	chr1	1354327	1355746	CpG: 155	1419	155	910	21.8	64.1	1.07
595	chr1	1373760	1375659	CpG: 158	1899	158	1213	16.6	63.9	0.82
595	chr1	1387264	1387544	CpG: 25	280	25	169	17.9	60.4	0.98
595	chr1	1398691	1400222	CpG: 145	1531	145	912	18.9	59.6	1.07
595	chr1	1406728	1407555	CpG: 92	827	92	551	22.2	66.6	1.01
595	chr1	1419779	1420620	CpG: 113	841	113	670	26.9	79.7	0.85
595	chr1	1426180	1426407	CpG: 20	227	20	171	17.6	75.3	0.63
595	chr1	1427516	1427953	CpG: 53	437	53	281	24.3	64.3	1.23
595	chr1	1430792	1431014	CpG: 18	222	18	157	16.2	70.7	0.67
595	chr1	1435560	1436069	CpG: 57	509	57	303	22.4	59.5	1.27
595	chr1	1439081	1440204	CpG: 115	1123	115	763	20.5	67.9	0.89
596	chr1	1454175	1454509	CpG: 27	334	27	230	16.2	68.9	0.7
596	chr1	1460705	1460958	CpG: 19	253	19	163	15	64.4	0.73
596	chr1	1471464	1472441	CpG: 104	977	104	585	21.3	59.9	1.19
596	chr1	1478654	1479152	CpG: 40	498	40	340	16.1	68.3	0.69
596	chr1	1481905	1482373	CpG: 42	468	42	327	17.9	69.9	0.76
596	chr1	1484846	1485304	CpG: 34	458	34	314	14.8	68.6	0.63
596	chr1	1509208	1509469	CpG: 19	261	19	172	14.6	65.9	0.67
596	chr1	1511498	1512825	CpG: 151	1327	151	885	22.8	66.7	1.02
596	chr1	1517321	1517819	CpG: 40	498	40	340	16.1	68.3	0.69
596	chr1	1519922	1520512	CpG: 48	590	48	408	16.3	69.2	0.69
596	chr1	1521449	1521694	CpG: 18	245	18	163	14.7	66.5	0.67
596	chr1	1522574	1523649	CpG: 77	1075	77	721	14.3	67.1	0.64
596	chr1	1529128	1529426	CpG: 23	298	23	203	15.4	68.1	0.67
596	chr1	1535224	1536210	CpG: 83	986	83	703	16.8	71.3	0.66
596	chr1	1537727	1537962	CpG: 21	235	21	141	17.9	60	1
596	chr1	1539582	1541289	CpG: 154	1707	154	1075	18	63	0.92
596	chr1	1554152	1554414	CpG: 25	262	25	180	19.1	68.7	0.81
596	chr1	1561381	1561606	CpG: 16	225	16	129	14.2	57.3	0.89
597	chr1	1574102	1575367	CpG: 139	1265	139	786	22	62.1	1.15
597	chr1	1598951	1600756	CpG: 170	1805	170	1043	18.8	57.8	1.13
597	chr1	1615073	1616635	CpG: 176	1562	176	1059	22.5	67.8	0.98
597	chr1	1623207	1623979	CpG: 73	772	73	552	18.9	71.5	0.74
597	chr1	1625400	1625675	CpG: 27	275	27	198	19.6	72	0.77
597	chr1	1626669	1634630	CpG: 612	7961	612	5525	15.4	69.4	0.64
597	chr1	1635670	1636108	CpG: 31	438	31	297	14.2	67.8	0.62
597	chr1	1639975	1640670	CpG: 46	695	46	460	13.2	66.2	0.61
597	chr1	1645016	1645234	CpG: 24	218	24	156	22	71.6	0.95
597	chr1	1658612	1659481	CpG: 85	869	85	533	19.6	61.3	1.04
597	chr1	1669542	1669792	CpG: 21	250	21	164	16.8	65.6	0.78
597	chr1	1676459	1676804	CpG: 27	345	27	213	15.7	61.7	0.82
597	chr1	1692087	1693628	CpG: 160	1541	160	1009	20.8	65.5	0.97
597	chr1	1699647	1701787	CpG: 178	2140	178	1483	16.6	69.3	0.69
597	chr1	1702813	1703251	CpG: 31	438	31	297	14.2	67.8	0.62
598	chr1	1712154	1712372	CpG: 25	218	25	157	22.9	72	0.98
598	chr1	1723956	1724792	CpG: 84	836	84	537	20.1	64.2	0.98
598	chr1	1739317	1739662	CpG: 27	345	27	213	15.7	61.7	0.82
598	chr1	1745362	1746894	CpG: 157	1532	157	997	20.5	65.1	0.97
598	chr1	1753934	1754532	CpG: 48	598	48	401	16.1	67.1	0.72
598	chr1	1760328	1760624	CpG: 22	296	22	204	14.9	68.9	0.64
598	chr1	1777955	1779143	CpG: 151	1188	151	876	25.4	73.7	0.94
598	chr1	1782200	1782702	CpG: 45	502	45	349	17.9	69.5	0.74
599	chr1	1889966	1891833	CpG: 199	1867	199	1116	21.3	59.8	1.2
599	chr1	1908519	1909162	CpG: 78	643	78	477	24.3	74.2	0.89
599	chr1	1918659	1919952	CpG: 120	1293	120	905	18.6	70	0.77
599	chr1	1927807	1928084	CpG: 22	277	22	182	15.9	65.7	0.74
599	chr1	1943276	1943576	CpG: 25	300	25	214	16.7	71.3	0.66
599	chr1	1944178	1944438	CpG: 23	260	23	178	17.7	68.5	0.76
599	chr1	1954905	1955431	CpG: 46	526	46	322	17.5	61.2	0.93
599	chr1	1964975	1965189	CpG: 18	214	18	149	16.8	69.6	0.69
600	chr1	1966142	1966347	CpG: 17	205	17	145	16.6	70.7	0.74
600	chr1	1978829	1982361	CpG: 265	3532	265	1999	15	56.6	0.95
600	chr1	2018972	2020040	CpG: 128	1068	128	761	24	71.3	0.94
600	chr1	2025607	2025947	CpG: 35	340	35	229	20.6	67.4	0.91
600	chr1	2027975	2028428	CpG: 44	453	44	306	19.4	67.5	0.87
600	chr1	2029503	2029709	CpG: 15	206	15	127	14.6	61.7	0.77
600	chr1	2029968	2030411	CpG: 38	443	38	294	17.2	66.4	0.78
600	chr1	2043247	2043503	CpG: 22	256	22	180	17.2	70.3	0.7
600	chr1	2044684	2045207	CpG: 61	523	61	388	23.3	74.2	0.86
600	chr1	2049812	2051773	CpG: 218	1961	218	1390	22.2	70.9	0.89
600	chr1	2059340	2059732	CpG: 29	392	29	240	14.8	61.2	0.8
600	chr1	2073740	2074126	CpG: 40	386	40	263	20.7	68.1	0.9
600	chr1	2093766	2094786	CpG: 82	1020	82	700	16.1	68.6	0.68
601	chr1	2107116	2107424	CpG: 21	308	21	197	13.6	64	0.67
601	chr1	2109558	2109863	CpG: 23	305	23	203	15.1	66.6	0.7
601	chr1	2114990	2115426	CpG: 32	436	32	277	14.7	63.5	0.73
601	chr1	2121722	2124405	CpG: 184	2683	184	1631	13.7	60.8	1.29
601	chr1	2132343	2132613	CpG: 20	270	20	171	14.8	63.3	0.77
601	chr1	2133189	2133740	CpG: 54	551	54	398	19.6	72.2	0.86
601	chr1	2134928	2135227	CpG: 22	299	22	209	14.7	69.9	0.6
601	chr1	2150875	2151090	CpG: 17	215	17	129	15.8	60	0.9
601	chr1	2169414	2169746	CpG: 28	332	28	231	16.9	69.6	0.77
601	chr1	2172837	2173047	CpG: 25	210	25	137	23.8	65.2	1.32
601	chr1	2184993	2185362	CpG: 34	369	34	238	18.4	64.5	0.89
601	chr1	2189578	2190379	CpG: 55	801	55	487	13.7	60.8	0.75
601	chr1	2194449	2195203	CpG: 75	754	75	537	19.9	71.2	0.78
601	chr1	2204478	2205912	CpG: 143	1434	143	1073	19.9	74.8	0.76
601	chr1	2212760	2213058	CpG: 24	298	24	211	16.1	70.8	0.64
602	chr1	2280581	2282442	CpG: 179	1861	179	1176	19.2	63.2	1.08
602	chr1	2290759	2291130	CpG: 26	371	26	225	14	60.6	0.77
602	chr1	2300871	2301178	CpG: 23	307	23	203	15	66.1	0.69
602	chr1	2303869	2304228	CpG: 30	359	30	251	16.7	69.9	0.69
602	chr1	2305003	2307630	CpG: 205	2627	205	1702	15.6	64.8	0.75
602	chr1	2314275	2315647	CpG: 133	1372	133	949	19.4	69.2	0.81
602	chr1	2317876	2318195	CpG: 27	319	27	229	16.9	71.8	0.66
602	chr1	2322284	2323319	CpG: 75	1035	75	706	14.5	68.2	0.62
602	chr1	2326658	2326984	CpG: 23	326	23	224	14.1	68.7	0.6
602	chr1	2327625	2327887	CpG: 24	262	24	185	18.3	70.6	0.74
602	chr1	2331745	2332031	CpG: 40	286	40	218	28	76.2	1.22
602	chr1	2334568	2334993	CpG: 30	425	30	257	14.1	60.5	0.78
602	chr1	2344919	2345218	CpG: 24	299	24	193	16.1	64.5	0.79
603	chr1	2372720	2372937	CpG: 16	217	16	141	14.7	65	0.7
603	chr1	2384914	2385310	CpG: 37	396	37	281	18.7	71	0.75
603	chr1	2391042	2392325	CpG: 149	1283	149	905	23.2	70.5	0.94
603	chr1	2402111	2402733	CpG: 43	622	43	390	13.8	62.7	0.72
603	chr1	2408437	2408807	CpG: 26	370	26	249	14.1	67.3	0.62
603	chr1	2411946	2413278	CpG: 112	1332	112	791	16.8	59.4	0.96
603	chr1	2414452	2414717	CpG: 19	265	19	163	14.3	61.5	0.76
603	chr1	2428487	2428728	CpG: 24	241	24	170	19.9	70.5	0.8
603	chr1	2433987	2434240	CpG: 20	253	20	167	15.8	66	0.73
603	chr1	2440407	2440634	CpG: 17	227	17	153	15	67.4	0.67
603	chr1	2443379	2444375	CpG: 102	996	102	617	20.5	61.9	1.07
603	chr1	2456230	2456647	CpG: 30	417	30	285	14.4	68.3	0.62
603	chr1	2467386	2467616	CpG: 27	230	27	180	23.5	78.3	0.77
603	chr1	2478353	2478610	CpG: 22	257	22	171	17.1	66.5	0.77
603	chr1	2479686	2479965	CpG: 24	279	24	194	17.2	69.5	0.72
603	chr1	2483759	2484067	CpG: 29	308	29	234	18.8	76	0.69
604	chr1	2502147	2502626	CpG: 42	479	42	357	17.5	74.5	0.63
604	chr1	2503602	2503818	CpG: 18	216	18	158	16.7	73.1	0.63
604	chr1	2504115	2504389	CpG: 24	274	24	199	17.5	72.6	0.67
604	chr1	2508358	2508583	CpG: 17	225	17	148	15.1	65.8	0.71
604	chr1	2508687	2509039	CpG: 30	352	30	214	17	60.8	0.92
604	chr1	2513916	2514209	CpG: 24	293	24	195	16.4	66.6	0.75
604	chr1	2518483	2518767	CpG: 25	284	25	190	17.6	66.9	0.82
604	chr1	2519778	2520112	CpG: 29	334	29	230	17.4	68.9	0.74
604	chr1	2521356	2521568	CpG: 16	212	16	147	15.1	69.3	0.63
604	chr1	2525802	2526820	CpG: 98	1018	98	634	19.3	62.3	1
604	chr1	2529321	2530571	CpG: 100	1250	100	641	16	51.3	1.22
604	chr1	2535495	2535773	CpG: 23	278	23	194	16.5	69.8	0.69
604	chr1	2540656	2541147	CpG: 54	491	54	355	22	72.3	0.84
604	chr1	2546432	2546924	CpG: 47	492	47	355	19.1	72.2	0.73
604	chr1	2585958	2587453	CpG: 140	1495	140	931	18.7	62.3	0.97
604	chr1	2595800	2596064	CpG: 20	264	20	185	15.2	70.1	0.63
604	chr1	2606232	2606447	CpG: 19	215	19	142	17.7	66	0.81
605	chr1	2628453	2629253	CpG: 62	800	62	540	15.5	67.5	0.69
605	chr1	2642591	2643425	CpG: 86	834	86	615	20.6	73.7	0.76
606	chr1	2789460	2790396	CpG: 114	936	114	707	24.4	75.5	0.86
606	chr1	2800176	2800668	CpG: 41	492	41	353	16.7	71.7	0.65
606	chr1	2855561	2856100	CpG: 44	539	44	326	16.3	60.5	0.89
606	chr1	2860592	2860796	CpG: 15	204	15	136	14.7	66.7	0.66
607	chr1	2911220	2911729	CpG: 40	509	40	315	15.7	61.9	0.82
607	chr1	2930491	2930723	CpG: 19	232	19	165	16.4	71.1	0.65
607	chr1	2934100	2934308	CpG: 16	208	16	122	15.4	58.7	0.9
607	chr1	2959980	2960243	CpG: 21	263	21	184	16	70	0.65
607	chr1	2968497	2968719	CpG: 18	222	18	126	16.2	56.8	1.01
607	chr1	2970024	2970358	CpG: 23	334	23	200	13.8	59.9	0.77
607	chr1	3001801	3002189	CpG: 34	388	34	242	17.5	62.4	0.98
607	chr1	3012591	3012812	CpG: 22	221	22	163	19.9	73.8	0.74
608	chr1	3022069	3022479	CpG: 28	410	28	267	13.7	65.1	0.64
608	chr1	3062711	3064194	CpG: 132	1483	132	946	17.8	63.8	0.88
608	chr1	3067361	3071398	CpG: 442	4037	442	2733	21.9	67.7	0.96
608	chr1	3073466	3074154	CpG: 82	688	82	509	23.8	74	0.87
608	chr1	3080708	3080909	CpG: 15	201	15	122	14.9	60.7	0.81
608	chr1	3083163	3083414	CpG: 19	251	19	171	15.1	68.1	0.65
608	chr1	3111615	3111993	CpG: 30	378	30	238	15.9	63	0.8
608	chr1	3121503	3121779	CpG: 20	276	20	184	14.5	66.7	0.67
608	chr1	3139977	3140208	CpG: 21	231	21	138	18.2	59.7	1.02
608	chr1	3142486	3142704	CpG: 17	218	17	141	15.6	64.7	0.75
609	chr1	3155335	3155675	CpG: 27	340	27	205	15.9	60.3	0.88
609	chr1	3164370	3164728	CpG: 29	358	29	222	16.2	62	0.85
609	chr1	3185976	3186788	CpG: 55	812	55	506	13.5	62.3	0.7
609	chr1	3188392	3188689	CpG: 27	297	27	187	18.2	63	0.93
609	chr1	3194583	3195345	CpG: 58	762	58	489	15.2	64.2	0.76
609	chr1	3231281	3231517	CpG: 19	236	19	149	16.1	63.1	0.81
609	chr1	3238596	3238797	CpG: 18	201	18	139	17.9	69.2	0.76
609	chr1	3240945	3241736	CpG: 61	791	61	541	15.4	68.4	0.66
609	chr1	3247405	3248079	CpG: 65	674	65	457	19.3	67.8	0.84
609	chr1	3266257	3266652	CpG: 33	395	33	260	16.7	65.8	0.78
609	chr1	3267982	3268260	CpG: 26	278	26	182	18.7	65.5	0.87
610	chr1	3278812	3279488	CpG: 47	676	47	455	13.9	67.3	0.61
610	chr1	3287201	3287889	CpG: 61	688	61	468	17.7	68	0.77
610	chr1	3323351	3323697	CpG: 24	346	24	235	13.9	67.9	0.6
610	chr1	3358465	3358720	CpG: 18	255	18	161	14.1	63.1	0.73
610	chr1	3390505	3390721	CpG: 20	216	20	142	18.5	65.7	0.86
610	chr1	3393538	3394471	CpG: 84	933	84	630	18	67.5	0.8
610	chr1	3404705	3405746	CpG: 75	1041	75	691	14.4	66.4	0.66
611	chr1	3408682	3409115	CpG: 37	433	37	277	17.1	64	1.13
611	chr1	3411427	3412860	CpG: 101	1433	101	921	14.1	64.3	0.7
611	chr1	3414476	3414715	CpG: 19	239	19	164	15.9	68.6	0.68
611	chr1	3415422	3415663	CpG: 19	241	19	151	15.8	62.7	0.8
611	chr1	3425448	3425762	CpG: 25	314	25	210	15.9	66.9	0.72
611	chr1	3425974	3426242	CpG: 21	268	21	154	15.7	57.5	0.96
611	chr1	3434801	3435068	CpG: 23	267	23	183	17.2	68.5	0.74
611	chr1	3454341	3455119	CpG: 98	778	98	613	25.2	78.8	0.81
611	chr1	3478137	3478627	CpG: 34	490	34	328	13.9	66.9	0.62
611	chr1	3500442	3500655	CpG: 18	213	18	122	16.9	57.3	1.08
611	chr1	3509012	3509233	CpG: 21	221	21	152	19	68.8	0.8
611	chr1	3509797	3510006	CpG: 21	209	21	149	20.1	71.3	0.8
611	chr1	3510791	3511119	CpG: 26	328	26	214	15.9	65.2	0.8
611	chr1	3519424	3519686	CpG: 20	262	20	176	15.3	67.2	0.68
611	chr1	3530885	3531495	CpG: 71	610	71	460	23.3	75.4	0.82
612	chr1	3543310	3543705	CpG: 28	395	28	271	14.2	68.6	0.6
612	chr1	3583338	3583906	CpG: 46	568	46	372	16.2	65.5	0.91
612	chr1	3595145	3595554	CpG: 29	409	29	264	14.2	64.5	0.68
612	chr1	3611055	3611514	CpG: 59	459	59	347	25.7	75.6	0.91
612	chr1	3624203	3625677	CpG: 160	1474	160	1005	21.7	68.2	0.93
612	chr1	3640399	3640637	CpG: 18	238	18	171	15.1	71.8	0.61
612	chr1	3643388	3644445	CpG: 113	1057	113	769	21.4	72.8	0.81
612	chr1	3645293	3645559	CpG: 42	266	42	208	31.6	78.2	1.17
612	chr1	3649780	3653072	CpG: 302	3292	302	2067	18.3	62.8	0.93
613	chr1	3690532	3690989	CpG: 40	457	40	295	17.5	64.6	0.85
613	chr1	3706754	3706957	CpG: 15	203	15	143	14.8	70.4	0.63
613	chr1	3718069	3718537	CpG: 36	468	36	335	15.4	71.6	0.6
613	chr1	3732730	3733110	CpG: 36	380	36	266	18.9	70	0.78
613	chr1	3746399	3747406	CpG: 96	1007	96	692	19.1	68.7	0.81
613	chr1	3771989	3773120	CpG: 105	1131	105	829	18.6	73.3	0.71
613	chr1	3786900	3787344	CpG: 31	444	31	282	14	63.5	0.73
613	chr1	3795834	3796668	CpG: 91	834	91	613	21.8	73.5	0.81
614	chr1	3814894	3815451	CpG: 38	557	38	339	13.6	60.9	0.74
614	chr1	3856623	3857901	CpG: 110	1278	110	845	17.2	66.1	0.79
614	chr1	3858513	3858805	CpG: 21	292	21	179	14.4	61.3	0.78
614	chr1	3874300	3875047	CpG: 49	747	49	423	13.1	56.6	0.82
614	chr1	3891926	3892672	CpG: 48	746	48	501	12.9	67.2	0.6
614	chr1	3899792	3901520	CpG: 133	1728	133	1153	15.4	66.7	0.69
614	chr1	3907655	3907892	CpG: 18	237	18	145	15.2	61.2	0.82
616	chr1	4132573	4133183	CpG: 41	610	41	359	13.4	58.9	0.78
616	chr1	4161327	4161612	CpG: 23	285	23	189	16.1	66.3	0.74
620	chr1	4653929	4656495	CpG: 317	2566	317	1840	24.7	71.7	0.96
620	chr1	4666516	4666807	CpG: 23	291	23	198	15.8	68	0.87
620	chr1	4711592	4712485	CpG: 74	893	74	616	16.6	69	0.7
621	chr1	4772291	4772493	CpG: 17	202	17	126	16.8	62.4	0.87
628	chr1	5711996	5712453	CpG: 43	457	43	322	18.8	70.5	0.8
628	chr1	5733497	5733724	CpG: 16	227	16	143	14.1	63	0.94
629	chr1	5877097	5877332	CpG: 22	235	22	159	18.7	67.7	0.83
629	chr1	5890764	5890969	CpG: 16	205	16	131	15.6	63.9	0.77
630	chr1	5991535	5993346	CpG: 189	1811	189	1235	20.9	68.2	0.9
630	chr1	6026184	6026434	CpG: 20	250	20	167	16	66.8	0.72
631	chr1	6051549	6051776	CpG: 20	227	20	157	17.6	69.2	0.74
631	chr1	6071575	6071925	CpG: 34	350	34	246	19.4	70.3	0.79
631	chr1	6127683	6128175	CpG: 41	492	41	341	16.7	69.3	0.72
631	chr1	6128813	6129060	CpG: 22	247	22	159	17.8	64.4	0.86
631	chr1	6142058	6142299	CpG: 20	241	20	143	16.6	59.3	0.96
631	chr1	6148656	6148979	CpG: 35	323	35	232	21.7	71.8	0.9
632	chr1	6179177	6180754	CpG: 175	1577	175	1082	22.2	68.6	0.95
632	chr1	6180971	6181191	CpG: 17	220	17	129	15.5	58.6	0.9
632	chr1	6199118	6199823	CpG: 59	705	59	434	16.7	61.6	0.89
632	chr1	6205765	6206718	CpG: 96	953	96	687	20.1	72.1	0.78
632	chr1	6208760	6209528	CpG: 92	768	92	523	24	68.1	1.03
632	chr1	6235468	6236201	CpG: 90	733	90	491	24.6	67	1.1
632	chr1	6241815	6242796	CpG: 106	981	106	678	21.6	69.1	0.91
632	chr1	6245088	6246403	CpG: 122	1315	122	910	18.6	69.2	0.79
632	chr1	6249103	6250032	CpG: 128	929	128	701	27.6	75.5	0.99
632	chr1	6253701	6254079	CpG: 35	378	35	256	18.5	67.7	0.81
632	chr1	6260077	6260991	CpG: 105	914	105	666	23	72.9	0.87
632	chr1	6279888	6280208	CpG: 22	320	22	213	13.8	66.6	0.62
632	chr1	6281076	6281352	CpG: 21	276	21	181	15.2	65.6	0.71
633	chr1	6392959	6394125	CpG: 135	1166	135	785	23.2	67.3	1.04
633	chr1	6418997	6420878	CpG: 177	1881	177	1200	18.8	63.8	0.92
634	chr1	6424443	6425267	CpG: 85	824	85	514	20.6	62.4	1.07
634	chr1	6440108	6441070	CpG: 88	962	88	577	18.3	60	1.02
634	chr1	6447147	6449126	CpG: 172	1979	172	1379	17.4	69.7	0.72
634	chr1	6451629	6452050	CpG: 32	421	32	286	15.2	67.9	0.66
634	chr1	6454048	6455985	CpG: 206	1937	206	1329	21.3	68.6	0.91
634	chr1	6456064	6456265	CpG: 15	201	15	116	14.9	57.7	0.9
634	chr1	6460524	6461895	CpG: 109	1371	109	882	15.9	64.3	0.77
634	chr1	6466114	6466361	CpG: 31	247	31	187	25.1	75.7	0.88
634	chr1	6470612	6470818	CpG: 19	206	19	139	18.4	67.5	0.83
634	chr1	6471411	6471676	CpG: 32	265	32	193	24.2	72.8	0.92
