chrom	chromStart	chromEnd	size	type
chr21	6580181	6630181	50000	contig
chr21	6739085	6789085	50000	contig
chr21	6934219	6984219	50000	contig
chr21	7149527	7199527	50000	contig
chr21	7327865	7377865	50000	contig
chr21	7500890	7550890	50000	contig
chr21	7693700	7743700	50000	contig
chr21	7865746	7915746	50000	contig
chr21	8049839	8099839	50000	contig
chr21	8260971	8310971	50000	contig
chr21	8472360	8522360	50000	contig
chr21	8706715	8756715	50000	contig
chr21	8886604	8986604	100000	contig
chr21	9196087	9246087	50000	contig
chr21	9377143	9527143	150000	contig
chr21	10169868	10269868	100000	contig
chr21	10274327	10324327	50000	contig
chr21	10814560	10864560	50000	heterochromatin
chr21	10887097	10887197	100	contig
chr21	10975219	10975319	100	contig
chr21	11029452	11029552	100	contig
chr21	11093087	11093187	100	contig
chr21	11113857	11113957	100	contig
chr21	11120627	11120727	100	contig
chr21	11123972	11124072	100	contig
chr21	11146633	11146733	100	contig
chr21	12280944	12281044	100	contig
chr21	12281384	12281484	100	contig
chr21	12281824	12281924	100	contig
chr21	12283122	12283222	100	contig
chr21	12915808	12965808	50000	contig
chr21	41584292	41584392	100	scaffold
chr21	43212462	43262462	50000	scaffold
chr21	46699983	46709983	10000	telomere
chr22	0	10000	10000	telomere
chr22	10000	10510000	10500000	short_arm
chr22	10784643	10834643	50000	contig
chr22	10874572	10924572	50000	contig
chr22	10966724	11016724	50000	contig
chr22	11068987	11118987	50000	contig
chr22	11160921	11210921	50000	contig
chr22	11378056	11428056	50000	contig
chr22	11497337	11547337	50000	contig
chr22	11631288	11681288	50000	contig
chr22	11724629	11774629	50000	contig
chr22	11977555	12027555	50000	contig
chr22	12225588	12275588	50000	contig
chr22	12438690	12488690	50000	contig
chr22	12641730	12691730	50000	contig
chr22	12726204	12776204	50000	contig
chr22	12818137	12868137	50000	contig
chr22	12904788	12954788	50000	contig
chr22	12977325	12977425	100	contig
chr22	12986171	12994027	7856	scaffold
chr22	13011653	13014130	2477	scaffold
chr22	13021322	13021422	100	contig
chr22	13109444	13109544	100	contig
chr22	13163677	13163777	100	contig
chr22	13227312	13227412	100	contig
chr22	13248082	13248182	100	contig
chr22	13254852	13254952	100	contig
chr22	13258197	13258297	100	contig
chr22	13280858	13280958	100	contig
chr22	13285143	13285243	100	contig
chr22	14419454	14419554	100	contig
chr22	14419894	14419994	100	contig
chr22	14420334	14420434	100	contig
chr22	14421632	14421732	100	contig
chr22	15054318	15154318	100000	contig
chr22	16279672	16302843	23171	scaffold
chr22	16304296	16305427	1131	scaffold
chr22	16307048	16307605	557	scaffold
chr22	16310302	16310402	100	scaffold
chr22	16313516	16314010	494	scaffold
chr22	18239129	18339129	100000	contig
chr22	18433513	18483513	50000	contig
chr22	18659564	18709564	50000	contig
chr22	49973865	49975365	1500	contig
chr22	50808468	50818468	10000	telomere
chr3	0	10000	10000	telomere
chr3	90550102	90550202	100	scaffold
chr3	90565295	90568828	3533	scaffold
chr3	90699772	90699792	20	scaffold
chr3	90722458	90772458	50000	contig
chr3	91233586	91233686	100	contig
chr3	91247622	91247722	100	contig
chr3	91249905	91256421	6516	scaffold
chr3	91257890	91260180	2290	scaffold
chr3	91265381	91276994	11613	scaffold
chr3	91282175	91282734	559	scaffold
chr3	91291069	91291218	149	scaffold
chr3	91345078	91345173	95	scaffold
chr3	91364131	91364151	20	scaffold
chr3	91438798	91438818	20	scaffold
chr3	91553319	91553419	100	contig
chr3	93655574	93705574	50000	contig
chr3	198235559	198285559	50000	contig
chr3	198285559	198295559	10000	telomere
chr4	0	10000	10000	telomere
chr4	1429358	1434206	4848	scaffold
chr4	1435794	1441552	5758	scaffold
chr4	8797477	8816477	19000	contig
chr4	9272916	9322916	50000	scaffold
chr4	31819295	31832569	13274	contig
chr4	31835775	31835795	20	scaffold
chr4	32833016	32839016	6000	contig
chr4	49336924	49486924	150000	contig
chr4	49658100	49708100	50000	contig
chr4	49711961	49712061	100	contig
chr4	51743951	51793951	50000	contig
chr4	58878793	58921381	42588	contig
chr4	190123121	190173121	50000	scaffold
chr4	190204555	190214555	10000	telomere
chr5	0	10000	10000	telomere
chr5	17530548	17580548	50000	scaffold
chr5	46435900	46485900	50000	contig
chr5	46569062	46569162	100	contig
chr5	46796725	46796825	100	contig
chr5	47061288	47061388	100	contig
chr5	47069162	47073730	4568	scaffold
chr5	47078603	47078720	117	scaffold
chr5	47079733	47082080	2347	scaffold
chr5	47106894	47106994	100	contig
chr5	47153339	47153439	100	contig
chr5	47296069	47296169	100	contig
chr5	47300585	47306086	5501	scaffold
chr5	47309084	47309184	100	contig
chr5	49591369	49591469	100	contig
chr5	49592920	49599323	6403	scaffold
chr5	49600986	49601086	100	contig
chr5	49603131	49609714	6583	scaffold
chr5	49611721	49612096	375	scaffold
chr5	49618994	49621605	2611	scaffold
chr5	49628165	49630729	2564	scaffold
chr5	49633793	49641815	8022	scaffold
chr5	49646823	49646923	100	contig
chr5	49650573	49656261	5688	scaffold
chr5	49661871	49666173	4302	scaffold
chr5	49667431	49667531	100	contig
chr5	49721203	49721303	100	contig
chr5	50059807	50109807	50000	contig
chr5	139452659	139453659	1000	contig
chr5	155760324	155761324	1000	contig
chr5	181478259	181528259	50000	contig
chr5	181528259	181538259	10000	telomere
chr6	0	10000	10000	telomere
chr6	10000	60000	50000	contig
chr6	58453888	58553888	100000	contig
chr6	59829934	60229934	400000	contig
chr6	61357029	61363066	6037	scaffold
chr6	61370554	61371372	818	scaffold
chr6	61378482	61378582	100	scaffold
chr6	61381502	61381602	100	scaffold
chr6	61393846	61393946	100	scaffold
chr6	61398161	61398261	100	scaffold
chr6	95020790	95070790	50000	scaffold
chr6	167591393	167641393	50000	scaffold
chr6	170745979	170795979	50000	contig
chr6	170795979	170805979	10000	telomere
chr7	0	10000	10000	telomere
chr7	237846	240242	2396	scaffold
chr7	58119653	58169653	50000	contig
chr7	60828234	60878234	50000	contig
chr7	61063378	61063426	48	scaffold
chr7	61327788	61377788	50000	contig
chr7	61528020	61578020	50000	contig
chr7	61964169	61967063	2894	scaffold
chr7	61976104	62026104	50000	scaffold
chr7	62456779	62506779	50000	heterochromatin
chr7	143650804	143700804	50000	scaffold
chr7	159335973	159345973	10000	telomere
chr8	0	10000	10000	telomere
chr8	10000	60000	50000	contig
chr8	7617127	7667127	50000	contig
chr8	12234345	12284345	50000	contig
chr8	43983744	44033744	50000	contig
chr8	45877265	45927265	50000	contig
chr8	85664222	85714222	50000	contig
chr8	145078636	145128636	50000	contig
chr8	145128636	145138636	10000	telomere
chr9	0	10000	10000	telomere
chr9	40529470	40529480	10	scaffold
chr9	40537052	40537134	82	scaffold
chr9	40547487	40547497	10	scaffold
chr9	40561938	40561948	10	scaffold
chr9	41225986	41229378	3392	scaffold
chr9	41237752	41238504	752	scaffold
chr9	43222167	43236167	14000	contig
chr9	43240559	43240579	20	scaffold
chr9	43254332	43254352	20	scaffold
chr9	43263290	43263820	530	scaffold
chr9	43268730	43268750	20	scaffold
chr9	43270944	43274935	3991	scaffold
chr9	43276248	43276457	209	scaffold
chr9	43281323	43282956	1633	scaffold
chr9	43332174	43333269	1095	scaffold
chr9	43370405	43371325	920	scaffold
chr9	43377453	43382279	4826	scaffold
chr9	43389535	43389635	100	contig
chr9	45518558	60518558	15000000	heterochromatin
chr9	60688432	60738432	50000	contig
chr9	60779521	60829521	50000	contig
chr9	61003887	61053887	50000	contig
chr9	61231966	61281966	50000	contig
chr9	61468808	61518808	50000	contig
chr9	61735368	61785368	50000	contig
chr9	62149738	62249738	100000	contig
chr9	62748832	62798832	50000	contig
chr9	62958371	63008371	50000	contig
chr9	63202862	63252862	50000	scaffold
chr9	63492264	63542264	50000	contig
chr9	63918447	63968447	50000	contig
chr9	64135013	64185013	50000	scaffold
chr9	64215162	64315162	100000	contig
chr9	64998124	65048124	50000	scaffold
chr9	65080082	65130082	50000	contig
chr9	65325123	65375123	50000	contig
chr9	65595191	65645191	50000	contig
chr9	66391387	66591387	200000	contig
chr9	67920552	68220552	300000	contig
chr9	134183092	134185536	2444	scaffold
chr9	138334717	138384717	50000	contig
chr9	138384717	138394717	10000	telomere
chrX	0	10000	10000	telomere
chrX	44821	94821	50000	scaffold
chrX	133871	222346	88475	scaffold
chrX	226276	226351	75	scaffold
chrX	1949345	2132994	183649	contig
chrX	2137388	2137488	100	scaffold
chrX	37099262	37285837	186575	contig
chrX	49348394	49528394	180000	scaffold
chrX	50228964	50278964	50000	contig
chrX	58555579	58605579	50000	contig
chrX	62412542	62462542	50000	contig
chrX	114281198	114331198	50000	contig
chrX	115738949	115838949	100000	scaffold
chrX	116557779	116595566	37787	contig
chrX	120879381	120929381	50000	scaffold
chrX	144425606	144475606	50000	contig
chrX	156030895	156040895	10000	telomere
chrY	0	10000	10000	telomere
chrY	44821	94821	50000	scaffold
chrY	133871	222346	88475	scaffold
chrY	226276	226351	75	scaffold
chrY	1949345	2132994	183649	contig
chrY	2137388	2137488	100	scaffold
chrY	9046914	9055174	8260	scaffold
chrY	9057608	9107608	50000	contig
chrY	9111868	9112715	847	scaffold
chrY	9114319	9116371	2052	scaffold
chrY	9403713	9453713	50000	contig
chrY	10266944	10316944	50000	contig
chrY	10544039	10594039	50000	contig
chrY	10633440	10645833	12393	scaffold
chrY	10649989	10651421	1432	scaffold
chrY	10669737	10670732	995	scaffold
chrY	10674058	10676544	2486	scaffold
chrY	10679715	10682442	2727	scaffold
chrY	10691573	10691902	329	scaffold
chrY	10694192	10744192	50000	contig
chrY	10747280	10747305	25	scaffold
chrY	10809671	10810479	808	scaffold
chrY	10816758	10817292	534	scaffold
chrY	10852900	10855135	2235	scaffold
chrY	10871218	10871897	679	scaffold
chrY	10890419	10891942	1523	scaffold
chrY	10896525	10898184	1659	scaffold
chrY	10908519	10909101	582	scaffold
chrY	10922486	10923564	1078	scaffold
chrY	10956868	10957767	899	scaffold
chrY	10961625	10962533	908	scaffold
chrY	10965694	10967284	1590	scaffold
chrY	10969992	10970620	628	scaffold
chrY	10986652	10986677	25	scaffold
chrY	11002276	11003059	783	scaffold
chrY	11012528	11013046	518	scaffold
chrY	11016992	11017247	255	scaffold
chrY	11023374	11024266	892	scaffold
chrY	11028342	11029160	818	scaffold
chrY	11036252	11037032	780	scaffold
chrY	11592902	11642902	50000	contig
chrY	11647442	11647709	267	scaffold
chrY	11653064	11653102	38	scaffold
chrY	11660374	11662181	1807	scaffold
chrY	11663986	11664006	20	scaffold
chrY	11669948	11670088	140	scaffold
chrY	11671800	11671820	20	scaffold
chrY	11673795	11674123	328	scaffold
chrY	20207793	20257793	50000	scaffold
chrY	21739542	21741441	1899	scaffold
chrY	21747863	21748371	508	scaffold
chrY	21750013	21750314	301	scaffold
chrY	21789281	21805281	16000	contig
chrY	26673214	56673214	30000000	heterochromatin
chrY	56771509	56821509	50000	contig
chrY	57217415	57227415	10000	telomere
